trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-163.9799616852689,"{0: 15, 1: 8, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-237.35008581836945,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-121.73902664247842,"{0: 19, 1: 8, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-99.29603078384952,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-15.337914561597843,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-20.03068565395482,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-42.53368545025689,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,16,7.546499261199902,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,19.673209542829174,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,8,-71.3193464920993,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,22,14.469573594768782,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,6.165407847939509,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-54.80936560366527,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-82.61330327618894,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-93.28129384892443,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-48.57889729015535,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,8,-32.992179435958064,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-21.046086416511812,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,22,4.718102399536583,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-46.43584823437841,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,14,9.283142982794079,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,15,-28.777629051439924,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,20.91668181695301,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,16,17.277057896947124,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,2.2057183245813623,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-17.277397724807585,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-38.58947857183134,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,7,11.85416195018429,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,5,21.426041180917036,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,2,-27.406594490028734,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,True,"{'a': 0, 'e': 0}",25,0,0.4964757780227447,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",25,3,17.71445536531084,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,0,22.05653536451362,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",25,0,-56.19067599736539,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",20,2,-14.562653946843499,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,True,"{'a': 0, 'e': 0}",25,0,-0.32296064652713086,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",25,0,-10.447152418812946,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",35,9,-56.66932558591837,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 2}",1
19,True,"{'a': 0, 'e': 0}",20,8,5.210864255100882,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,0,-66.3837780809079,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
