trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.995, 'e': 29.85}",30,0,-124.50887390644408,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.995, 'e': 29.700750000000003}",30,0,-169.63184509203657,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.995, 'e': 29.552246250000003}",30,0,-153.28298445251724,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.995, 'e': 29.40448501875}",30,0,-90.28808354748136,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.995, 'e': 29.257462593656253}",25,16,-6.027939646129087,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.995, 'e': 29.111175280687974}",20,0,-79.04195047559466,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.995, 'e': 28.965619404284535}",25,0,-94.1908816266744,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.995, 'e': 28.82079130726311}",30,0,-191.04406917393553,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
9,False,"{'a': 0.995, 'e': 28.676687350726795}",25,0,-181.14564908578973,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.995, 'e': 28.53330391397316}",25,0,-26.534765239381183,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.995, 'e': 28.390637394403296}",25,0,-228.8511309711556,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 5}",0
12,False,"{'a': 0.995, 'e': 28.24868420743128}",20,0,-171.60654709075692,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.995, 'e': 28.107440786394122}",20,0,-32.85659793382675,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.995, 'e': 27.96690358246215}",35,0,-142.65781385826492,"{0: 18, 1: 5, 2: 10, 3: 2, 4: 0}",0
15,False,"{'a': 0.995, 'e': 27.82706906454984}",20,0,-105.30812926117528,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.995, 'e': 27.68793371922709}",25,16,-9.40813634469892,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.995, 'e': 27.549494050630955}",25,0,-116.29035534241024,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.995, 'e': 27.411746580377798}",20,0,-45.6789879385545,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.995, 'e': 27.27468784747591}",20,0,-67.76446527559467,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.995, 'e': 27.13831440823853}",20,4,9.8019659835072,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.995, 'e': 27.002622836197336}",30,0,-66.84940138604513,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.995, 'e': 26.86760972201635}",30,22,-3.1732313462240556,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.995, 'e': 26.733271673406268}",20,0,-117.69721745896494,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
24,False,"{'a': 0.995, 'e': 26.599605315039238}",30,2,-81.97659656200958,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 1}",1
25,False,"{'a': 0.995, 'e': 26.46660728846404}",35,0,-127.65704211463054,"{0: 18, 1: 5, 2: 11, 3: 1, 4: 0}",0
26,False,"{'a': 0.995, 'e': 26.334274252021718}",25,0,-135.84118817774524,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.995, 'e': 26.20260288076161}",30,0,-131.21360440733824,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
28,False,"{'a': 0.995, 'e': 26.0715898663578}",25,0,-122.06384563762374,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.995, 'e': 25.941231917026013}",35,0,-292.114063875632,"{0: 11, 1: 7, 2: 13, 3: 1, 4: 3}",0
30,False,"{'a': 0.995, 'e': 25.811525757440883}",25,0,-154.36667205016715,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.995, 'e': 25.682468128653678}",25,0,-55.49282121612346,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.995, 'e': 25.55405578801041}",25,0,-105.09914056163672,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.995, 'e': 25.426285509070357}",25,0,-49.26853193301455,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.995, 'e': 25.299154081525007}",20,0,-176.82236814676182,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
35,False,"{'a': 0.995, 'e': 25.17265831111738}",25,0,-108.47195506984674,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
36,False,"{'a': 0.995, 'e': 25.046795019561795}",25,0,-97.52550578968528,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
37,False,"{'a': 0.995, 'e': 24.921561044463985}",20,1,-33.59037773102396,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.995, 'e': 24.796953239241667}",25,0,-100.526733710003,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
39,False,"{'a': 0.995, 'e': 24.672968473045458}",30,0,-131.20207250183864,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
40,False,"{'a': 0.995, 'e': 24.54960363068023}",35,0,-210.02032396950153,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
41,False,"{'a': 0.995, 'e': 24.42685561252683}",20,0,-122.44067131927027,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
42,False,"{'a': 0.995, 'e': 24.304721334464194}",20,0,-110.85735526851704,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
43,False,"{'a': 0.995, 'e': 24.183197727791875}",20,0,-83.88027153270026,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 0.995, 'e': 24.062281739152915}",25,0,-77.04739822856915,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.995, 'e': 23.94197033045715}",25,0,-77.24305518633842,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.995, 'e': 23.822260478804864}",20,0,-171.61883137742691,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
