trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.95}",30,0,-228.53376738148293,"{0: 13, 1: 6, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.99, 'e': 0.8999999999999999}",30,0,-151.14553160566373,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.99, 'e': 0.8499999999999999}",30,0,-48.81558665561256,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.99, 'e': 0.7999999999999998}",20,0,-66.39305763947978,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.99, 'e': 0.7499999999999998}",20,12,-21.22628092510734,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.99, 'e': 0.6999999999999997}",20,0,-100.12087138526047,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.99, 'e': 0.6499999999999997}",25,0,-193.27550356953645,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.99, 'e': 0.5999999999999996}",20,0,-142.50234475118444,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.99, 'e': 0.5499999999999996}",20,0,-128.6145013390042,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.99, 'e': 0.4999999999999996}",20,0,-92.69568874292678,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.99, 'e': 0.4499999999999996}",20,0,-45.9347574594762,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.99, 'e': 0.39999999999999963}",20,0,-162.74476179827957,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.99, 'e': 0.34999999999999964}",25,0,-78.59327417528588,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
